Location,Feature Combination,Metric,Value
New Delhi,Precipitable Water,Root Mean Squared Error (Non-zero),181.9387015334647
New Delhi,Precipitable Water,R² Score (Non-zero),0.5382863301732328
New Delhi,Precipitable Water,Mean Absolute Percentage Error (Non-zero),173.9028339522401
New Delhi,Precipitable Water,Mean Squared Percentage Error (Non-zero),2529.5768776161194
New Delhi,Precipitable Water,Non-zero Values Percentage,49.107142857142854
New Delhi,Precipitable Water,Mean Absolute Error (All),68.03939801920686
New Delhi,Precipitable Water,Mean Squared Error (All),16367.471906109315
New Delhi,Precipitable Water,Root Mean Squared Error (All),127.93542084235044
New Delhi,Precipitable Water,R² Score (All),0.7442816937021621
New Delhi,Precipitable Water,Mean Absolute Percentage Error (All),2837089327608.1274
New Delhi,Precipitable Water,Mean Squared Percentage Error (All),1.1217716180062589e+24
New Delhi,Wind Direction,Mean Absolute Error (Non-zero),135.9520840878253
New Delhi,Wind Direction,Mean Squared Error (Non-zero),34509.360957767036
New Delhi,Wind Direction,Root Mean Squared Error (Non-zero),185.7669533522231
New Delhi,Wind Direction,R² Score (Non-zero),0.518651671435659
New Delhi,Wind Direction,Mean Absolute Percentage Error (Non-zero),152.0803479574078
New Delhi,Wind Direction,Mean Squared Percentage Error (Non-zero),1307.6433323135589
New Delhi,Wind Direction,Non-zero Values Percentage,49.107142857142854
New Delhi,Wind Direction,Mean Absolute Error (All),70.9976457336518
New Delhi,Wind Direction,Mean Squared Error (All),17024.905148502992
New Delhi,Wind Direction,Root Mean Squared Error (All),130.47952003476635
New Delhi,Wind Direction,R² Score (All),0.7340102408954489
New Delhi,Wind Direction,Mean Absolute Percentage Error (All),4235461583455.1147
New Delhi,Wind Direction,Mean Squared Percentage Error (All),7.83439638852479e+23
New Delhi,Wind Speed,Mean Absolute Error (Non-zero),137.4503630978244
New Delhi,Wind Speed,Mean Squared Error (Non-zero),34775.40345974312
New Delhi,Wind Speed,Root Mean Squared Error (Non-zero),186.4816437608354
New Delhi,Wind Speed,R² Score (Non-zero),0.5149408199420604
New Delhi,Wind Speed,Mean Absolute Percentage Error (Non-zero),142.083663789444
New Delhi,Wind Speed,Mean Squared Percentage Error (Non-zero),1065.0467346866988
New Delhi,Wind Speed,Non-zero Values Percentage,49.107142857142854
New Delhi,Wind Speed,Mean Absolute Error (All),73.78476346267094
New Delhi,Wind Speed,Mean Squared Error (All),17209.216801305665
New Delhi,Wind Speed,Root Mean Squared Error (All),131.18390450549055
New Delhi,Wind Speed,R² Score (All),0.7311306352999102
New Delhi,Wind Speed,Mean Absolute Percentage Error (All),6286817298630.508
New Delhi,Wind Speed,Mean Squared Percentage Error (All),1.3200974518181403e+24
New Delhi,all,Mean Absolute Error (Non-zero),132.8614288312294
New Delhi,all,Mean Squared Error (Non-zero),32983.43763083618
New Delhi,all,Root Mean Squared Error (Non-zero),181.61342910378676
New Delhi,all,R² Score (Non-zero),0.539935770084556
New Delhi,all,Mean Absolute Percentage Error (Non-zero),157.32820598141265
New Delhi,all,Mean Squared Percentage Error (Non-zero),1733.8266319194404
New Delhi,all,Non-zero Values Percentage,49.107142857142854
New Delhi,all,Mean Absolute Error (All),67.32070159921726
New Delhi,all,Mean Squared Error (All),16235.656609786054
New Delhi,all,Root Mean Squared Error (All),127.41921601464222
New Delhi,all,R² Score (All),0.7463411189153712
New Delhi,all,Mean Absolute Percentage Error (All),2076249941101.5044
New Delhi,all,Mean Squared Percentage Error (All),3.843277321471149e+23
New Delhi,meteorological_only,Mean Absolute Error (Non-zero),170.68198023931686
New Delhi,meteorological_only,Mean Squared Error (Non-zero),48465.68829783957
